1000,Sequence Control
17263,Zero address in input elem_name
17264,Unknown robot (identification in ident.type)
17265,"Front face of a cuboid not unique (top views of P1, P2 coincide)"
17266,Input points not on a cuboid surface (P1)
17267,Input points not on a cuboid surface (P2)
17268,Input points not on a cuboid surface (P3)
17269,Input points not on a cuboid surface (P4)
17270,"Front face of a cuboid not unique (P1, P2, P3 on the same line)"
17271,Side face of a cuboid not unique (line P4P5 perpendicular to the front face)
17272,Input points not on a cuboid surface (P5)
17273,Input points not on a cuboid surface (P6)
17274,"No cuboid exists (input points on the same line, and three nonzero vectors formed)"
17275,Front face of a cuboid not unique (points P1 and P2 coincide)
17276,Side face of a cuboid not unique (points P3 and P4 coincide)
17277,Top face of a cuboid not unique (points P5 and P6 coincide)
17278,No cuboid exists (front face would not be perpendicular to the other faces)
17279,No cuboid exists (front face would not be perpendicular to the other faces)
17280,No cuboid exists (front face would not be perpendicular to the other faces)
17281,Only front face unique (input points for the side and top faces form parallel lines)
17282,Only side face unique (input points for the top and front faces form parallel lines)
17283,Only top face unique (input points for the front and side faces form parallel lines)
17284,No cuboid exists (input points form mutually not perpendicular vectors in a plane)
17285,No cuboid exists (input points in general position but negative discriminant)
17286,The norm of quaternion is not plus one
17287,No dynamic model in the transformation variable
17288,Dynamic model in the transformation variable is not available
17289,Invalid dynamic model
17290,Invalid (zero) address of some parameter in a dynamic model call
17291,Invalid type of transformation
17292,Norm of the quaternion is not plus one
17293,Norm of the quaternion is not plus one
17294,Norm of the quaternion is not plus one
17295,Norm of the quaternion is not plus one
17296,Variant is not supported for the mechanical system
17297,Direct function failed
17300,Length of first rod (rod1) is not positive
17301,Length of second rod (rod2) is not positive
17302,Intended TCP position cannot be reached
17303,Position cannot be reached - neither convex nor concave shape
17304,Position cannot be reached - rods too short
17305,Intended TCP position cannot be reached - violated convex/concave configuration
17306,Position cannot be reached - neither convex nor concave shape
17307,Position cannot be reached - infinitely many solutions
17310,Length of first arm (a1xy) is not positive
17311,Length of second arm (a2xy) is not positive
17312,Infinitely many solutions (TCP = anchor)
17313,Intended TCP position cannot be reached
17320,Length of first arm of the left part (l1_l) is not positive
17321,Length of second arm of the left part (l2_l) is not positive
17322,Length of first arm of the right part (l1_r) is not positive
17323,Length of second arm of the right part (l2_r) is not positive
17324,Position cannot be reached - rods too short
17325,Configuration cannot be achieved with real mechanical system
17326,Cannot be achieved by real mechanics (elbows are merged) - infinitely many solutions
17327,Infinite solutions (TCP = anchor) for left arm
17328,Intended TCP positions cannot be reached by left arm
17329,Infinite solutions (TCP = anchor) for right arm
17330,Intended TCP positions cannot be reached by right arm
17331,Intended TCP position cannot be reached - violated positive/negative configuration
17332,Real position of the left elbow does not correspond to the intended mode
17333,Real position of the left elbow does not correspond to the intended mode
17334,Position cannot be reached - neither positive nor negative shape
17335,Position cannot be reached - neither positive nor negative shape
17340,Invalid mech.angles_type
17341,Out of mathematical workspace
17342,The TCP cannot be reached with a real mechanical system
17343,The input quaternion is not a unit quaternion (up to float precision epsilon)
17344,The input quaternion is zero quaternion (up to float precision epsilon)
17350,Angle mech.angle_BC is an integral multiple of 90 degrees
17351,Orientation cannot be achieved
17352,Zero direction vector (up to epsilon)
17353,Direction vector is not a unit vector (up to epsilon)
17354,Orientation cannot be achieved
17355,Direction vector is parallel to the xy-plane
17356,Invalid mech.frame_BC.angles_type while mech.frame_BC.enable is nonzero
17360,Position is impossible (rods are too far apart from each another)
17361,TCP cannot be reached (point P1 too close to the origin of the frame)
17362,TCP cannot be reached (rods would be too far from one another)
17363,Rods would not be convex
17370,Invalid (zero or negative) mech.a1radius
17371,Invalid (zero or negative) mech.a2radius
17372,Invalid (zero or negative) mech.a3radius
17373,Invalid (zero or negative) mech.b1radius
17374,Invalid (zero or negative) mech.b2radius
17375,Invalid (zero or negative) mech.b3radius
17376,Conflict between mech.a1angle and mech.a2angle (they are the same up to 90 degrees)
17377,Conflict between mech.a2angle and mech.a3angle (they are the same up to 90 degrees)
17378,Conflict between mech.a3angle and mech.a1angle (they are the same up to 90 degrees)
17379,Conflict between mech.b1angle and mech.b2angle (they are the same up to 90 degrees)
17380,Conflict between mech.b2angle and mech.b3angle (they are the same up to 90 degrees)
17381,Conflict between mech.b3angle and mech.b1angle (they are the same up to 90 degrees)
17382,Zero direction vector (up to epsilon)
17383,Invalid direction (projection of A0 into the plane \sigma)
17384,Invalid direction (projection of A1 into the plane \sigma)
17385,Invalid direction (projection of A2 into the plane \sigma)
17386,Invalid direction (projection of A3 into the plane \sigma)
17387,Invalid direction (\sigma is perpendicular to xy)
17388,Invalid direction (triangle in \sigma does not exist uniquely)
17389,Invalid direction (triangle in \sigma violates plane A1-A2-A3 in A1)
17390,Invalid direction (triangle in \sigma violates plane A1-A2-A3 in A2)
17391,Invalid direction (triangle in \sigma violates plane A1-A2-A3 in A3)
17400,mech.tube2 is not long enough to reach the intended position
17401,Q2 cannot be computed (TCP.x coordinate too far)
17402,Q2 cannot be computed uniquely (cannot happen with real mechanical system)
17403,Q1 cannot be computed (TCP.y coordinate too far)
17404,Q1 cannot be computed uniquely (cannot happen with real mechanical system)
17405,Z cannot be computed (mech.tube2 is not long enough to reach the intended TCP)
17406,mech.tube2 is not long enough to reach the intended position
17410,Invalid mech.angles_type
17411,Out of mathematical workspace
17412,The TCP cannot be reached with a real mechanical system
17413,The input quaternion is not a unit quaternion (up to float precision epsilon)
17414,The input quaternion is zero quaternion (up to float precision epsilon)
17420,Out of mathematical workspace
17421,TCP is not reachable by real mechanics
17430,Invalid (zero or negative) mech.arm1
17431,Invalid (zero or negative) mech.arm2
17432,Invalid (zero or negative) mech.arm3
17433,Invalid (zero or negative) mech.pipe1
17434,Invalid (zero or negative) mech.pipe2
17435,Invalid (zero or negative) mech.pipe3
17436,Position cannot be reached - rods too short
17437,Position cannot be reached - infinitely many solutions
17438,Rod1 (mech.arm1 + mech.pipe1) is not long enough to reach the intended position
17439,Rod2 (mech.arm2 + mech.pipe2) is not long enough to reach the intended position
17440,Rod3 (mech.arm3 + mech.pipe3) is not long enough to reach the intended position
17441,Position cannot be reached - rods too short
17442,Position cannot be reached - infinitely many solutions
17443,Intended TCP position cannot be reached - violated lower/upper configuration
17444,Position cannot be reached - neither lower nor upper shape
17445,Position cannot be reached - neither lower nor upper shape
17450,Length of first arm (a1xy) is not positive
17451,Length of second arm (a2xy) is not positive
17452,Infinitely many solutions (TCP = anchor)
17453,Intended TCP position not reachable
17460,Invalid mech.direction_type
17461,Valid mech.direction_type but not for this mechanical system
17462,Invalid direction vector (up to epsilon) for defined direction_type
17463,Invalid slope (up to epsilon) for defined direction_type
17464,Invalid mech.frame_AB.angles_type while mech.frame_AB.enable is nonzero
17465,Direction vector is not a unit vector (up to epsilon)
17470,Invalid mech.direction_type
17471,Valid mech.direction_type but not for this mechanical system
17472,Invalid direction vector (up to epsilon) for defined direction_type
17473,Invalid slope (up to epsilon) for defined direction_type
17474,Invalid mech.frame_BA.angles_type while mech.frame_BA.enable is nonzero
17475,Direction vector is not a unit vector (up to epsilon)
17480,Invalid mech.direction_type
17481,Valid mech.direction_type but not for this mechanical system
17482,Invalid direction vector (up to epsilon) for defined direction_type
17483,Invalid slope (up to epsilon) for defined direction_type
17484,Invalid mech.frame_CA.angles_type while mech.frame_CA.enable is nonzero
17485,Direction vector is not a unit vector (up to epsilon)
17486,The quaternion is not valid for this mechanical system (nonzero y-component of rotation)
17487,The input quaternion is not a unit quaternion (up to float precision epsilon)
17488,The input quaternion is zero quaternion (up to float precision epsilon)
17490,Invalid mech.direction_type
17491,Valid mech.direction_type but not for this mechanical system
17492,Invalid direction vector (up to epsilon) for defined direction_type
17493,Invalid slope (up to epsilon) for defined direction_type
17494,Invalid mech.frame_AC.angles_type while mech.frame_AC.enable is nonzero
17495,Direction vector is not a unit vector (up to epsilon)
17500,Invalid mech.direction_type
17501,Valid mech.direction_type but not for this mechanical system
17502,Invalid direction vector (up to epsilon) for defined direction_type
17503,Invalid slope (up to epsilon) for defined direction_type
17504,Invalid mech.frame_BC.angles_type while mech.frame_BC.enable is nonzero
17505,Direction vector is not a unit vector (up to epsilon)
17510,Invalid mech.direction_type
17511,Valid mech.direction_type but not for this mechanical system
17512,Invalid direction vector (up to epsilon) for defined direction_type
17513,Invalid slope (up to epsilon) for defined direction_type
17514,Invalid mech.frame_CB.angles_type while mech.frame_CB.enable is nonzero
17515,Direction vector is not a unit vector (up to epsilon)
17520,Invalid mech.RTCP_angles_type
17521,Invalid mech.T_angles_type
17522,Invalid mech.frame_RTCP.angles_type while the frame is enabled
17530,Invalid mech.angles_type
17531,Out of mathematical workspace (numerical problem)
17532,Out of mathematical workspace
17533,Invalid deviation of position or orientation in TCP
17534,Maximum number of numerical iterations exceeded
17535,Invalid mech.frame_a0.angles_type while the frame is enabled
17536,The input quaternion is not a unit quaternion (up to epsilon)
17537,The input quaternion is zero quaternion (up to double precision epsilon)
17540,Length of mech.arm is negative
17541,Invalid combination of input data - mechanical system not feasible
17542,Infinite number of solutions (point A1 = A2)
17543,TCP.z and A2.z must be the same (arm is parallel to x)
17550,Invalid (zero or negative) mech.a1radius
17551,Invalid (zero or negative) mech.a2radius
17552,Invalid (zero or negative) mech.a3radius
17553,Invalid (zero or negative) mech.b1radius
17554,Invalid (zero or negative) mech.b2radius
17555,Invalid (zero or negative) mech.b3radius
17556,Conflict between mech.a1angle and mech.a2angle (they are the same up to 90 degrees)
17557,Conflict between mech.a2angle and mech.a3angle (they are the same up to 90 degrees)
17558,Conflict between mech.a3angle and mech.a1angle (they are the same up to 90 degrees)
17559,Conflict between mech.b1angle and mech.b2angle (they are the same up to 90 degrees)
17560,Conflict between mech.b2angle and mech.b3angle (they are the same up to 90 degrees)
17561,Conflict between mech.b3angle and mech.b1angle (they are the same up to 90 degrees)
17562,Mechanics doesn't have to be tought
17563,No position of TCP can be reached
17564,Mechanical system not rigid
17565,The lower platform cannot be higher than the upper platform
17570,Invalid (zero or negative) mech.arm1
17571,Invalid (zero or negative) mech.arm2
17572,Invalid (zero or negative) mech.arm3
17573,Invalid (zero or negative) mech.pipe1
17574,Invalid (zero or negative) mech.pipe2
17575,Invalid (zero or negative) mech.pipe3
17576,Invalid (zero or negative) mech.m1dxy
17577,Invalid (zero or negative) mech.m2dxy
17578,Invalid (zero or negative) mech.m3dxy
17579,Invalid (zero or negative) mech.arm_holder1
17580,Invalid (zero or negative) mech.arm_holder2
17581,Invalid (zero or negative) mech.arm_holder3
17582,Position cannot be reached - rods are too short
17583,Position cannot be reached - infinite number of solutions
17584,Rod1 (mech.arm1 + mech.pipe1) is not long enough to reach the intended position
17585,Rod2 (mech.arm2 + mech.pipe2) is not long enough to reach the intended position
17586,Rod3 (mech.arm3 + mech.pipe3) is not long enough to reach the intended position
17590,Invalid (zero or negative) mech.arm1
17591,Invalid (zero or negative) mech.arm2
17592,Invalid (zero or negative) mech.arm3
17593,Invalid (zero or negative) mech.pipe1
17594,Invalid (zero or negative) mech.pipe2
17595,Invalid (zero or negative) mech.pipe3
17596,Position cannot be reached - rods too short
17597,Position cannot be reached - infinite number of solutions
17598,Rod1 (mech.arm1 + mech.pipe1) is not long enough to reach the intended position
17599,Rod2 (mech.arm2 + mech.pipe2) is not long enough to reach the intended position
17600,Rod3 (mech.arm3 + mech.pipe3) is not long enough to reach the intended position
17601,Intended TCP position cannot be reached - violated lower/upper configuration
17602,Position cannot be reached - neither lower nor upper shape
17603,Position cannot be reached - neither lower nor upper shape
17610,TCP cannot be reached (out of z-range)
17611,TCP cannot be reached (out of x-range)
17630,Invalid multiplicative factor for coord
17631,Invalid maximal change for coord
17632,Coord - SW end limit 1 reached
17633,Coord - SW end limit 2 reached
17634,Coord - Bigger change than maximal change required
17640,Measure is not valid
17641,Variant is invalid
17642,The index is invalid
17643,The coord type is invalid
17644,The epsilon is not valid
17645,Type of Euler angles is not valid
17646,Type of Euler angles of frame is not valid
17647,The direction type is not valid
17650,Link matrix is not invertible
17660,Invalid angles_type of tool
17661,Invalid angles_type of local_frame
17670,Command for generic method is not valid
17671,Update code is not valid
17672,Method id is not valid (see input udint[0])
17673,Overload variant is not valid (see input udint[1])
17674,Clone of the object failed
17680,Invalid (zero or negative) mech.pipe1
17681,Invalid (zero or negative) mech.pipe2
17682,Invalid (zero or negative) mech.pipe3
17683,Position cannot be reached - rods too short
17684,Position cannot be reached - infinitely many solutions
17685,The TCP is not reachable by axis T1
17686,The TCP is not reachable by axis T2
17687,The TCP is not reachable by axis T3
17690,Invalid (zero) dimensions cx and cz
17691,Invalid (zero) dimensions ex and ez
17692,Invalid (same) points A1 and A2
17693,Point A cannot be computed
17694,Point C cannot be computed
17695,Point E cannot be computed
17696,TCP is not reachable
17697,Point D cannot be computed
17698,Point A cannot be computed
17699,Infinitely many solutions (TCP = anchor)
17700,Position cannot be reached - neither left nor right shape
17701,Position cannot be reached - neither lower nor upper shape
17702,Position cannot be reached - neither positive nor negative shape
17703,Intended TCP position cannot be reached - violated left/right configuration
17704,Intended TCP position cannot be reached - violated lower/upper configuration
17705,Intended TCP position cannot be reached - violated positive/negative configuration
17706,Position cannot be reached - neither left nor right shape
17707,Position cannot be reached - neither lower nor upper shape
17708,Position cannot be reached - neither positive nor negative shape
17710,Out of mathematical workspace
17711,The TCP cannot be reached with a real mechanical system
17720,TCP cannot be reached
17730,Invalid combination of properties for axis D
17731,Axis D - Bigger change than maximal_change required
17732,Axis D - Minimal SW end reached
17733,Axis D - Maximal SW end reached
17740,TCP cannot be reached
17760,The norm of quaternion is zero
17761,Norm of the quaternion is zero
17762,Norm of the quaternion is zero
17763,Norm of the quaternion is zero
17764,Norm of the quaternion is zero
17770,Intended TCP position cannot be reached - violated lower/upper configuration
17771,Position cannot be reached - neither lower nor upper shape
17772,Position cannot be reached - neither lower nor upper shape
17780,Intended TCP position cannot be reached - violated lower/upper configuration
17781,Position cannot be reached - neither lower nor upper shape
17782,Position cannot be reached - neither lower nor upper shape
17790,The mechanical system has no modes
17791,Measure is not valid
17792,Type of Euler angles is not valid
17793,The epsilon is not valid
17794,The epsilon is too small (DBL_EPSILON is used instead)
17795,The parameter ID is not supported
17800,Intended TCP position cannot be reached
17810,Out of mathematical workspace
17811,The TCP cannot be reached with a real mechanical system
17815,Out of mathematical workspace
17820,Invalid (zero or negative) mech.arm1
17821,Invalid (zero or negative) mech.arm2
17822,Invalid (zero or negative) mech.pipe1
17823,Invalid (zero or negative) mech.pipe2
17824,Rod1 (mech.arm1 + mech.pipe1) is not long enough to reach the intended position
17825,Rod2 (mech.arm2 + mech.pipe2) is not long enough to reach the intended position
17826,Intended TCP position cannot be reached - violated lower/upper configuration
17827,Position cannot be reached - neither lower nor upper shape
17828,Position cannot be reached - rods too short
17829,Position cannot be reached - infinitely many solutions
17830,Position cannot be reached - neither lower nor upper shape
17831,The input quaternion is not a unit quaternion (up to float precision epsilon)
17832,The input quaternion is zero quaternion (up to float precision epsilon)
17840,The wire-frame model link connecting given points does not exist
17841,The parent of the monitoring point is not a valid point of the wire-frame model
17842,The wire-frame model is in self collision (two links in collision)
17843,The wire-frame model is in self collision (link and monitoring point in collision)
17844,The wire-frame model is in self collision (two monitoring points in collision)
17845,The method is obsolete
17846,Obsolete method has been called
17847,Position difference of axis influencing the joint axis is 0.0 units
17848,Invalid multiplicative factor for coord
17849,Invalid maximal change for coord
17850,Coord - Bigger change than maximal change required
17851,Coord - SW end limit 1 reached
17852,Coord - SW end limit 2 reached
17853,Joint - SW end limit 1 reached
17854,Joint - SW end limit 2 reached
17855,Coupling matrix is not invertible
17856,Required important point is not a valid point of this mechanical system
17857,Required variant of dynamic model is not supported for this mechanical system
17858,Invalid (zero) address of some parameter in a dynamic model call
17860,Out of mathematical workspace
17861,Invalid deviation of position or orientation in TCP
17862,Maximum number of numerical iterations exceeded
17870,Out of mathematical workspace
17871,The TCP cannot be reached with a real mechanical system
17872,The input quaternion is not a unit quaternion (up to float precision epsilon)
17873,The input quaternion is zero quaternion (up to float precision epsilon)
17874,Out of mathematical workspace
17875,Out of mathematical workspace
17876,Out of mathematical workspace
17877,The TCP cannot be reached with a real mechanical system
17878,Out of mathematical workspace
F17100,Robot Id
F17100,0
F17100,1
F17100,2
F17100,3
F17100,4
F17100,5
F17100,6
F17100,7
F17100,8
F17100,9
F17100,10
F17100,11
F17100,12
F17100,13
F17100,14
F17100,15
F17100,16
F17100,17
F17100,18
F17100,19
F17100,20
F17100,21
F17100,22
F17100,23
F17100,24
F17100,25
F17100,26
F17100,27
F17100,28
F17100,29
F17100,30
F17100,31
F17100,32
F17100,33
F17100,34
F17100,35
F17100,36
F17100,38
F17100,39
F17100,40
F17100,41
F17100,42
F17100,43
F17101,Method Id
F17101,1
F17101,2
F17101,3
F17101,4
F17101,6
F17101,8
F17101,9
F17101,10
F17101,11
F17101,12
F17101,20
F17101,21
F17101,22
F17101,23
F17101,24
F17101,100
F17101,101
F17101,102
F17101,358
F17101,398
F17101,1230
F17101,1241
F17101,1242
F17101,1261
F17101,1262
F17101,1281
F17101,1301
F17101,1363
F17101,1364
F17101,1373
F17101,1374
F17101,1375
F17101,1376
F17101,1377
F17101,1378
F17101,1379
F17101,1380
F17102,Entity
F17102,1
F17102,2
F17102,3
F17102,4
F17102,1001
F17102,1002
F17102,1003
F17102,1004
F17103,Coord index (starting with zero)
F17104,Coord name
F17104,1
F17104,2
F17104,3
F17104,8
F17104,15
F17104,114
F17104,115
F17104,116
F17104,117
F17104,118
F17104,119
F17104,135
F17104,136
F17104,137
F17104,138
F17104,163
F17104,170
F17104,177
F17104,178
F17104,179
F17104,184
F17104,201
F17104,208
F17104,215
F17104,363
F17104,370
F17104,377
F17104,384
F17104,385
F17104,386
F17104,387
F17104,388
F17104,389
F17104,390
F17104,391
F17104,392
F17104,393
F17104,394
F17104,395
F17104,396
F17104,400
F17104,401
F17104,402
F17104,403
F17104,404
F17105,Additional info 1
F17106,Additional info 2
F17107,Additional info 3
F17109,Measure ID
F17109,1
F17109,2
F17109,3
F17109,4
F17110,AnglesType ID
F17110,1
F17110,2
F17110,3
F17110,4
F17110,5
F17110,6
F17110,7
F17110,8
F17110,9
F17110,10
F17110,11
F17110,12
F17110,13
F17110,14
F17110,15
F17110,16
F17110,17
F17110,18
F17110,19
F17111,Epsilon ID
F17111,1
F17111,2
F17112,License module version type
F17112,1
F17112,2
F17113,License module version
F17114,TrfLib version
F17115,License module name
F17115,12
F17115,160
F17115,161
F17115,162
F17115,164
F17115,168
F17115,176
F17115,177
F17115,178
F17115,180
F17115,184
F17116,License module name in module data
F17116,12
F17116,160
F17116,161
F17116,162
F17116,164
F17116,168
F17116,176
F17116,177
F17116,178
F17116,180
F17116,184
F17117,Entity
F17117,1
F17117,2
F17117,3
F17117,4
F17117,1001
F17117,1002
F17117,1003
F17117,1004
F17118,Row index
F17119,Column index
F17120,Obsolete since TRF_LIB
F17121,Coupling state
F17121,0
F17121,1000
F17122,Entity
F17122,1
F17122,2
F17122,3
40000,NC Manager
40109,Error External CNC Axis Parameter (NC-Object is not a valid axis object)
40110,Error record(s) lost by FIFO overflow (acknowledge error records)
40112,Timeout at processing an ARNC0 command
40119,Call of data module operation during the previous op. was still active
40120,Invalid NC object for master axis
40124,FIFO for switching off external coupling full
40125,"External master axis not allowed, because PLC-ITR not ON"
40129,Trace is already active at trace start
40130,Invalid NC object for trace trigger
40132,Invalid NC object for trace test data
40137,Internal Error - Invalid Job ID in ARNC0 response
40138,Internal Error - Invalid Channel ID in ARNC0 response
40139,Internal Error - Invalid Channel ID (real axis) in ARNC0 response
40140,Internal Error - Invalid Channel ID (CNC system) in ARNC0 response
40141,Internal Error - Invalid Channel ID (NC module) in ARNC0 response
40142,Internal Error - Invalid Channel ID (virtual axis) in ARNC0 response
40143,Internal Error - Invalid NC Object ID in Job List
40144,Internal Error - Job ID already acknowledged
40145,Internal Error - Job FIFO full
40146,Type of automat INIT state is invalid
40147,Index of automat INIT state is invalid for the specified type
40148,Internal Error - Invalid Channel ID (ext. encoder) in ARNC0 response
40149,Internal Error - Invalid Channel ID (ParId Trace) in ARNC0 response
40159,Max. number of external couplings exceeded (master axis)
40162,Sampling time of NC systems is not equal (master axis)
40175,A Trace Data Upload is already active
40176,Invalid Trace Status for Trace Data Upload
40190,Internal CNC error - M function not within the defined range
40191,Internal CNC error - M_S function not within the defined range
40192,Error in CNC Axis Parameter - Triggersource is not a valid axis object
40207,FIFO for switching off CAN coupling full
40240,Data address zero (set/read parameter via service interface)
40242,Error in CNC Axis Parameter - NC object name not found
40243,CNC Channel multiple defined
40244,Error reading init parameter module
40245,Error loading init parameter module
40246,Error reading motor parameter from configuration module
40247,Error reading acopos parameter module
40248,No HW-key. This NC-action is not allowed
40249,Max number of INIT ACOPOS parameter tables exceeded
40250,Error saving init parameter module
40251,NC Test opened for ACP10 in Exclusive Mode - Command not possible
40252,Command not possible - simulation ncCNCSYS active
40253,Internal Error - Access to ncAction counter not possible
40254,ParId Trace for acp10 axis not allowed
40255,Command not possible - ACP10_MC FBs used
40256,Basis-version - Max number of axes for a CNC-channel exceeded (ARNC0ext required)
40257,Debug command is currently active
40258,Error at switching axis error compensation on/off (PLCopen access)
40259,Trigger source PLCopen axis not allowed
40260,Trigger source PLCopen axis not a valid object
40261,Trigger source is no a PLCopen axis
40262,Basis-version - Max number of axes for a CNC-channel exceeded (ARNC0ext required)
40263,"Axis is not operated in NC Manager TC, usage in CNC not possible"
40264,Technology Guarding - CNC channel cannot be initialized
40265,ParId-Trace not allowed with axes on ARNC0 Interface
F40100,Boot Status:
F40100,0x01
F40100,0x02
F40100,0x10
F40100,0x11
F40100,0x12
F40100,0x13
F40100,0x14
F40100,0x15
F40100,0x20
F40100,0x21
F40100,0x22
F40100,0x23
F40100,0x24
F40100,0x41
F40100,0x42
F40101,Error:
F40101,1
F40101,2
F40102,Error Code:
F40103,Command Code:
F40104,Version (on the first three places equal to ARNC0 manager version ?):
F40106,Status:
F40107,Index:
F40108,PLC Error Number:
F40109,Sampling time of 'arnc0cfg.br':
F40110,ARNC0 sampling time:
F40111,Module name:
F40112,Header ID:
F40113,Job ID:
F40114,Channel ID:
F40115,NC Object ID / Job ID:
F40116,Error of CAN function:
F40116,8800
F40116,8801
F40116,8804
F40116,8805
F40116,8806
F40116,8807
F40116,8809
F40116,8810
F40116,8811
F40116,8812
F40116,8813
F40116,8814
F40116,8816
F40116,8876
F40117,Maximum number:
F40118,Bus ID:
F40119,Module address:
F40120,NC Object Type:
F40120,1
F40120,2
F40120,3
F40120,8
F40120,10
F40121,Index (channel-1):
F40122,BOOT' Status:
F40122,1
F40122,2
F40122,3
F40122,10970
F40123,Sampling time of the external NC system:
F40124,Error Code:
F40124,1
F40124,2
F40124,3
F40124,4
F40124,5
F40124,6
F40124,7
F40124,8
F40124,9
F40124,10
F40124,11
F40124,12
F40124,13
F40124,14
F40125,CAN-ID for master axis:
F40126,CAN-ID for master axis (0: No CAN object):
F40127,CAN-ID for additive axis of the master axis (0: No CAN object):
F40128,CAN-ID for additive axis of the slave axis (0: No CAN object):
F40129,Error:
F40129,32040
F40129,32041
F40129,32069
F40129,32070
F40129,32071
F40129,32088
F40129,32089
F40129,32090
F40129,32091
F40129,32093
F40129,32131
F40129,32132
F40129,32133
F40129,32134
F40129,32135
F40129,32136
F40129,32145
F40129,32146
F40129,32147
F40129,32148
F40129,32149
F40129,32150
F40129,32151
F40129,32152
F40129,32153
F40129,32155
F40129,32158
F40129,32159
F40129,32172
F40129,32173
F40129,32174
F40129,32175
F40129,32186
F40129,32192
F40129,32193
F40129,32194
F40130,NC Action (Subject):
F40130,117
F40130,122
F40130,201
F40131,NC Action (Action):
F40131,0x0104
F40131,0x0200
F40132,Status:
F40133,Axis error number:
F40134,Axis index:
F40135,Axis index:
F40136,Number of NC Manager TC (task class):
F40137,"Number of the task class, in which the axis is operated:"
F40138,Command Status:
100001,Invalid parameter ID
100002,Data block for upload is not available
100003,Write access for a read-only parameter
100004,Read access for a write-only parameter
100008,Data block read access already initialized
100009,Data block write access already initialized
100010,Data block read access not initialized
100011,Data block write access not initialized
100016,The data segment is already the last when reading the data block
100017,The data segment is already the last when writing the data block
100018,The data segment is not yet the last when reading the data block
100019,The data segment is not yet the last when writing the data block
100021,Checksum after data block write is invalid
100023,Parameter ID in data block is invalid (data block write)
F50001,Parameter ID
100025,Burn system module only allowed immediately after download
100027,Operating system not able to be started (operating system is not on the FPROM)
100040,Value of parameter higher than maximum value
F50002,Maximum value
100041,Value of parameter higher than maximum value
F50003,Maximum value
100042,Value of parameter higher than maximum value
F50004,Maximum value
100052,Value of parameter lower than minimum value
F50005,Minimum value
100053,Value of parameter lower than minimum value
F50006,Minimum value
100054,Value of parameter lower than minimum value
F50007,Minimum value
100064,Hardware ID in BR module is invalid (data block write)
F50008,Hardware ID
100065,Hardware version in BR module is invalid (data block write)
F50009,Hardware Revision
100066,The operating system on the drive is incompatible to the existing network
F50010,Hardware ID of operating system
100067,Necessary parameter is missing or is invalid
F50011,Parameter ID
100068,Data block length invalid
100069,Command interface is occupied
100070,Value of a necessary parameter too high
F50012,Parameter ID
100071,Value of a necessary parameter too low
F50013,Parameter ID
100072,firmware version less than minimal necessary firmware version
F50014,minimal version
100073,Invalid R4 floating point format
100074,Parameter can only be written via channel 1 (Axis 1)
100075,Parameter is not allowed for selected motor type
101001,Error-FIFO overflow
101002,Parameter outside the valid range
101003,Parameter cannot be written while loop control is active
101004,Timeout in network life sign monitor
101005,Parameter cannot be written while a movement is active
101006,Invalid parameter for trigger event (digital input + edge)
101008,Master for network coupling deactivated - Encoder error
F50015,Sending object number
101009,Error during memory allocation
101011,Quickstop input active
101012,Breakdown of cyclic network communication
101013,Station is not available for network communication
F50016,Station number
101014,Network command interface is occupied
101016,Maximum cycle time exceeded - CPU load too high
101017,Invalid parameter ID for cyclic read access
F50017,Parameter ID
101018,Invalid parameter ID for cyclic write access
F50018,Parameter ID
101021,Parameter cannot be written: Function block active
101022,Timeout in life sign monitoring of cyclic data to drive
101023,Network coupling with the cyclic communication mode not allowed
101024,Cyclic communication mode with current network configuration not possible
101025,Value of parameter in connection with holding brake not allowed
101026,Value of parameter in connection with SAFETY modules not allowed
101027,Function is not available for this hardware
101028,Maximum number of network couplings exceeded
101029,Parameter cannot be written: Stop ramp active
101030,Function is available with ACOPOS simulation only in mode 'Complete'
101031,Position controller cycle time exceeded - CPU load too high
101032,Internal bus error
F50019,Error code
101034,Value of parameter in connection with motor encoder gear not allowed
101035,Parameter cannot be written while a encoder is active.
102001,Upload of trace data not allowed: Recording active
102003,Trace start not allowed: Recording active
102006,Initialization of trace parameters not allowed: Recording active
104005,Controller cannot be switched on: Drive in error state
104007,Lag error stop limit exceeded
F50020,Current lag error
104008,Positive limit switch reached
104009,Negative limit switch reached
104010,Controller cannot be switched on: Both limit switches are closed
104011,Controller cannot be switched off: Movement active
104012,Controller cannot be switched on: Init parameters missing or not valid
F50021,Parameter ID
104014,Two encoder control: Stop limit of positions difference exceeded
F50022,Current positions difference
104015,Error triggered by command
F50023,Command parameter
104016,Taskclass cycle time invalid
104017,Network cycle time invalid
105001,Target position exceeds positive SW limit
105002,Target position exceeds negative SW limit
105003,Positive SW limit reached
105004,Negative SW limit reached
105005,Start of movement not possible: Position controller inactive
105006,Start of movement not possible: Axis not referenced
105010,Move in pos. direction not possible: Pos. limit switch is closed
105011,Move in neg. direction not possible: Neg. limit switch is closed
105012,Start of movement not possible: Stop ramp active
105015,Start of movement not possible: Homing procedure active
105016,Parameter cannot be written: Homing procedure active
105017,Homing procedure mode not possible: Position controller inactive
105018,Homing procedure not possible: Movement active
105019,Homing parameter outside the valid range
F50024,Parameter ID
105020,Homing procedure not possible: Both limit switches are closed
